mode,state,trial,classify_ns,cleanup_ns,full_cycle_ns,polls,cleanup_ok
flush,miss,146,2124,13004,15128,69,1
flush,hit,146,257,525,782,0,1
flush,miss,147,2531,10075,12606,50,1
flush,hit,147,257,527,784,0,1
flush,miss,148,2388,10110,12498,52,1
flush,hit,148,332,822,1154,0,1
flush,miss,149,2743,10976,13719,56,1
flush,hit,149,330,791,1121,0,1
flush,miss,150,2366,11897,14263,63,1
flush,hit,150,255,538,793,0,1
flush,miss,151,2362,11931,14293,63,1
flush,hit,151,252,534,786,0,1
flush,miss,152,2177,10988,13165,57,1
flush,hit,152,270,517,787,0,1
flush,miss,153,2533,10285,12818,53,1
flush,hit,153,253,529,782,0,1
flush,miss,154,2328,12402,14730,45,1
flush,hit,154,347,753,1100,0,1
flush,miss,155,2532,10821,13353,55,1
flush,hit,155,259,581,840,0,1
flush,miss,156,2328,10774,13102,56,1
flush,hit,156,254,519,773,0,1
flush,miss,157,2389,11207,13596,58,1
flush,hit,157,250,516,766,0,1
flush,miss,158,2233,10411,12644,54,1
flush,hit,158,251,512,763,0,1
flush,miss,159,2453,12215,14668,39,1
flush,hit,159,266,507,773,0,1
flush,miss,160,2446,11825,14271,44,1
flush,hit,160,269,562,831,0,1
flush,miss,161,2514,10959,13473,57,1
flush,hit,161,251,527,778,0,1
flush,miss,162,2318,11981,14299,63,1
flush,hit,162,318,728,1046,0,1
flush,miss,163,2507,11333,13840,59,1
flush,hit,163,252,548,800,0,1
flush,miss,164,2316,10927,13243,57,1
flush,hit,164,268,527,795,0,1
flush,miss,165,2856,15148,18004,50,1
flush,hit,165,326,811,1137,0,1
flush,miss,166,2532,11007,13539,57,1
flush,hit,166,258,564,822,0,1
flush,miss,167,2518,13435,15953,72,1
flush,hit,167,261,536,797,0,1
flush,miss,168,2187,12471,14658,66,1
flush,hit,168,255,534,789,0,1
flush,miss,169,2498,10976,13474,57,1
flush,hit,169,274,557,831,0,1
flush,miss,170,2263,10864,13127,56,1
flush,hit,170,292,775,1067,0,1
flush,miss,171,2824,10740,13564,55,1
flush,hit,171,317,819,1136,0,1
flush,miss,172,2320,10926,13246,56,1
flush,hit,172,258,528,786,0,1
flush,miss,173,2355,12297,14652,65,1
flush,hit,173,251,537,788,0,1
flush,miss,174,2158,9672,11830,49,1
flush,hit,174,249,521,770,0,1
flush,miss,175,2680,10073,12753,51,1
flush,hit,175,283,607,890,0,1
flush,miss,176,2289,16302,18591,58,1
flush,hit,176,342,805,1147,0,1
flush,miss,177,2556,10804,13360,56,1
flush,hit,177,263,574,837,0,1
flush,miss,178,2322,10620,12942,55,1
flush,hit,178,269,521,790,0,1
flush,miss,179,2350,9616,11966,49,1
flush,hit,179,255,522,777,0,1
flush,miss,180,2272,9971,12243,51,1
flush,hit,180,260,509,769,0,1
flush,miss,181,2489,14593,17082,49,1
flush,hit,181,252,520,772,0,1
flush,miss,182,2460,11823,14283,41,1
flush,hit,182,257,572,829,0,1
flush,miss,183,2463,10990,13453,57,1
flush,hit,183,252,540,792,0,1
flush,miss,184,2315,11835,14150,62,1
flush,hit,184,251,515,766,0,1
flush,miss,185,2503,11203,13706,58,1
flush,hit,185,249,522,771,0,1
flush,miss,186,2272,10154,12426,52,1
flush,hit,186,250,518,768,0,1
flush,miss,187,2762,12331,15093,42,1
flush,hit,187,338,767,1105,0,1
flush,miss,188,2409,10794,13203,56,1
flush,hit,188,255,583,838,0,1
flush,miss,189,2519,11864,14383,62,1
flush,hit,189,257,527,784,0,1
flush,miss,190,2117,11754,13871,62,1
flush,hit,190,258,517,775,0,1
flush,miss,191,2476,10888,13364,56,1
flush,hit,191,248,529,777,0,1
flush,miss,192,2282,10109,12391,52,1
flush,hit,192,325,744,1069,0,1
flush,miss,193,2747,14792,17539,41,1
