mode,state,trial,classify_ns,cleanup_ns,full_cycle_ns,polls,cleanup_ok
dontcache,miss,202,2262,13166,15428,72,1
dontcache,hit,202,260,533,793,0,1
dontcache,miss,203,2427,9659,12086,51,1
dontcache,hit,203,257,529,786,0,1
dontcache,miss,204,2269,9155,11424,41,1
dontcache,hit,204,256,1386,1642,0,1
dontcache,miss,205,7282,11608,18890,61,1
dontcache,hit,205,255,540,795,0,1
dontcache,miss,206,2509,13007,15516,71,1
dontcache,hit,206,261,581,842,0,1
dontcache,miss,207,2544,12424,14968,67,1
dontcache,hit,207,255,555,810,0,1
dontcache,miss,208,2504,11608,14112,63,1
dontcache,hit,208,265,630,895,0,1
dontcache,miss,209,2524,10757,13281,57,1
dontcache,hit,209,258,606,864,0,1
dontcache,miss,210,2248,11069,13317,60,1
dontcache,hit,210,258,540,798,0,1
dontcache,miss,211,2517,13143,15660,72,1
dontcache,hit,211,262,549,811,0,1
dontcache,miss,212,2179,11064,13243,60,1
dontcache,hit,212,257,618,875,0,1
dontcache,miss,213,2345,9913,12258,53,1
dontcache,hit,213,259,540,799,0,1
dontcache,miss,214,2392,10423,12815,55,1
dontcache,hit,214,319,533,852,0,1
dontcache,miss,215,2463,11300,13763,61,1
dontcache,hit,215,263,551,814,0,1
dontcache,miss,216,2280,11081,13361,60,1
dontcache,hit,216,260,543,803,0,1
dontcache,miss,217,2394,11628,14022,63,1
dontcache,hit,217,283,661,944,0,1
dontcache,miss,218,2228,10416,12644,56,1
dontcache,hit,218,262,539,801,0,1
dontcache,miss,219,2463,9475,11938,48,1
dontcache,hit,219,262,564,826,0,1
dontcache,miss,220,2268,9398,11666,50,1
dontcache,hit,220,265,533,798,0,1
dontcache,miss,221,2455,10987,13442,59,1
dontcache,hit,221,257,552,809,0,1
dontcache,miss,222,2305,10222,12527,55,1
dontcache,hit,222,258,553,811,0,1
dontcache,miss,223,2427,10424,12851,56,1
dontcache,hit,223,264,534,798,0,1
dontcache,miss,224,2258,13029,15287,72,1
dontcache,hit,224,280,537,817,0,1
dontcache,miss,225,2455,9815,12270,52,1
dontcache,hit,225,256,539,795,0,1
dontcache,miss,226,2278,10447,12725,56,1
dontcache,hit,226,260,554,814,0,1
dontcache,miss,227,2441,9859,12300,52,1
dontcache,hit,227,257,527,784,0,1
dontcache,miss,228,2234,11603,13837,63,1
dontcache,hit,228,257,524,781,0,1
dontcache,miss,229,2459,11448,13907,62,1
dontcache,hit,229,260,537,797,0,1
