mode,kernel,interval_us,trial_id,event,prediction,flush_start_ns,flush_end_ns,event_start_ns,monitor_start_ns,cleanup_end_ns,baseline_check_start_ns,baseline_check_end_ns,baseline_cached,cleanup_cached,attacker_error,victim_error,validator_error
dontcache,7.2.0-flushmon,800,102,1,1,390626830574,390626834934,390628702759,390629488286,390629559921,390627706363,390627716107,0,0,0,0,0
dontcache,7.2.0-flushmon,800,103,0,0,390631852385,390631856480,390633752599,390634553308,390635036232,390632742880,390632755268,0,0,0,0,0
dontcache,7.2.0-flushmon,800,104,1,1,390637388572,390637393081,390639339743,390640153014,390640202962,390638344756,390638366507,0,0,0,0,0
dontcache,7.2.0-flushmon,800,105,1,1,390642431031,390642435505,390644412771,390645197519,390645256725,390643410173,390643420696,0,0,0,0,0
dontcache,7.2.0-flushmon,800,106,0,0,390647483233,390647487659,390649472391,390650241871,390650619076,390648466955,390648477335,0,0,0,0,0
dontcache,7.2.0-flushmon,800,107,1,1,390652830829,390652831944,390654823272,390655594022,390655659468,390653824653,390653826628,0,0,0,0,0
dontcache,7.2.0-flushmon,800,108,1,1,390657849644,390657850378,390659851104,390660642010,390660695695,390658839967,390658841678,0,0,0,0,0
dontcache,7.2.0-flushmon,800,109,1,1,390662898794,390662901698,390664880754,390665638997,390665675169,390663874170,390663881544,0,0,0,0,0
dontcache,7.2.0-flushmon,800,110,1,1,390667878685,390667880567,390669884360,390670651821,390670698132,390668874585,390668879425,0,0,0,0,0
dontcache,7.2.0-flushmon,800,111,0,0,390673019484,390673022768,390674919368,390675718159,390676297117,390673912142,390673920082,0,0,0,0,0
dontcache,7.2.0-flushmon,800,112,0,0,390678694726,390678698041,390680611410,390681403345,390681891444,390679601188,390679609855,0,0,0,0,0
dontcache,7.2.0-flushmon,800,113,0,0,390684694523,390684700878,390686572662,390687345918,390687844955,390685569913,390685583311,0,0,0,0,0
dontcache,7.2.0-flushmon,800,114,1,1,390690501240,390690504460,390692476530,390693267621,390693396609,390691494158,390691496655,0,0,0,0,0
dontcache,7.2.0-flushmon,800,115,1,1,390695633494,390695634575,390697643688,390698429492,390698466169,390696632594,390696634337,0,0,0,0,0
dontcache,7.2.0-flushmon,800,116,1,1,390700695610,390700696580,390702684636,390703511093,390703563299,390701675426,390701679079,0,0,0,0,0
dontcache,7.2.0-flushmon,800,117,0,0,390705811109,390705811744,390707821110,390708617656,390709029710,390706816617,390706818894,0,0,0,0,0
dontcache,7.2.0-flushmon,800,118,1,1,390711446302,390711447026,390713440137,390714244747,390714326691,390712422088,390712424401,0,0,0,0,0
dontcache,7.2.0-flushmon,800,119,1,1,390716627609,390716633110,390718572633,390719529458,390719629049,390717570744,390717583820,0,0,0,0,0
dontcache,7.2.0-flushmon,800,120,0,0,390722038827,390722044865,390723870368,390724683436,390725277565,390722870248,390722885220,0,0,0,0,0
dontcache,7.2.0-flushmon,800,121,0,0,390727677639,390727683142,390729529941,390730312687,390730769829,390728539513,390728551596,0,0,0,0,0
dontcache,7.2.0-flushmon,800,122,1,1,390733107183,390733111262,390735021254,390735828471,390735894330,390734116081,390734125784,0,0,0,0,0
dontcache,7.2.0-flushmon,800,123,0,0,390738344482,390738349040,390740355092,390741139131,390741700778,390739344897,390739350857,0,0,0,0,0
dontcache,7.2.0-flushmon,800,124,0,0,390744051592,390744052931,390746085373,390746847142,390747296783,390745040973,390745045766,0,0,0,0,0
dontcache,7.2.0-flushmon,800,125,0,0,390749629329,390749630050,390751642238,390752432629,390752972291,390750628967,390750630957,0,0,0,0,0
dontcache,7.2.0-flushmon,800,126,1,1,390755663387,390755671880,390757622356,390758392166,390758587274,390756608075,390756624582,0,0,0,0,0
dontcache,7.2.0-flushmon,800,127,1,1,390761031805,390761037709,390762959686,390763776450,390764103161,390761966835,390761979989,0,0,0,0,0
dontcache,7.2.0-flushmon,800,128,1,1,390766356792,390766361115,390768331549,390769127539,390769231661,390767312703,390767323179,0,0,0,0,0
dontcache,7.2.0-flushmon,800,129,0,0,390771712666,390771718034,390773611138,390774377801,390775047970,390772600569,390772613166,0,0,0,0,0
dontcache,7.2.0-flushmon,800,130,1,1,390777783460,390777788097,390779684315,390780443903,390780595391,390778656623,390778667439,0,0,0,0,0
dontcache,7.2.0-flushmon,800,131,1,1,390782942239,390782943180,390784968650,390785721997,390785809665,390783938625,390783941316,0,0,0,0,0
dontcache,7.2.0-flushmon,800,132,1,1,390788240308,390788244631,390790190735,390790984825,390791426878,390789172900,390789183553,0,0,0,0,0
dontcache,7.2.0-flushmon,800,133,1,1,390794090252,390794095481,390795945811,390796710186,390796776179,390794906438,390794917575,0,0,0,0,0
dontcache,7.2.0-flushmon,800,134,0,0,390799069025,390799069850,390801088312,390801857068,390802349773,390800174813,390800185300,0,0,0,0,0
dontcache,7.2.0-flushmon,800,135,0,0,390804818408,390804824367,390806707425,390807515910,390808043410,390805696841,390805712569,0,0,0,0,0
dontcache,7.2.0-flushmon,800,136,1,1,390810629682,390810633551,390812613822,390813403541,390813635328,390811573486,390811583020,0,0,0,0,0
dontcache,7.2.0-flushmon,800,137,0,0,390816040479,390816044734,390818020822,390818775830,390819306410,390816971389,390816979702,0,0,0,0,0
dontcache,7.2.0-flushmon,800,138,1,1,390821734722,390821736850,390823726667,390824754650,390824846585,390822710102,390822713568,0,0,0,0,0
dontcache,7.2.0-flushmon,800,139,0,0,390827263156,390827267571,390829219551,390830068361,390830465173,390828183854,390828195083,0,0,0,0,0
dontcache,7.2.0-flushmon,800,140,1,1,390832949169,390832953334,390834848867,390835628804,390835694636,390833833016,390833842893,0,0,0,0,0
dontcache,7.2.0-flushmon,800,141,1,1,390838094288,390838098868,390839991085,390840755740,390840829746,390838957731,390838971555,0,0,0,0,0
dontcache,7.2.0-flushmon,800,142,0,0,390843216801,390843220076,390845084008,390846083674,390846583958,390844046415,390844054637,0,0,0,0,0
dontcache,7.2.0-flushmon,800,143,0,0,390848908649,390848910866,390850944617,390851736889,390852284058,390849923297,390849932567,0,0,0,0,0
