mode,state,trial,classify_ns,cleanup_ns,full_cycle_ns,polls,cleanup_ok
reference,miss,266,209,17,226,0,1
reference,hit,266,286,488,774,0,1
reference,miss,267,231,18,249,0,1
reference,hit,267,288,514,802,0,1
reference,miss,268,205,18,223,0,1
reference,hit,268,290,500,790,0,1
reference,miss,269,229,19,248,0,1
reference,hit,269,290,499,789,0,1
reference,miss,270,208,17,225,0,1
reference,hit,270,293,479,772,0,1
reference,miss,271,220,18,238,0,1
reference,hit,271,283,490,773,0,1
reference,miss,272,207,17,224,0,1
reference,hit,272,290,504,794,0,1
reference,miss,273,218,17,235,0,1
reference,hit,273,347,640,987,0,1
reference,miss,274,211,17,228,0,1
reference,hit,274,286,501,787,0,1
reference,miss,275,224,18,242,0,1
reference,hit,275,352,641,993,0,1
reference,miss,276,205,19,224,0,1
reference,hit,276,346,658,1004,0,1
reference,miss,277,325,21,346,0,1
reference,hit,277,400,710,1110,0,1
reference,miss,278,313,18,331,0,1
reference,hit,278,379,730,1109,0,1
reference,miss,279,306,16,322,0,1
reference,hit,279,387,740,1127,0,1
reference,miss,280,326,17,343,0,1
reference,hit,280,423,626,1049,0,1
reference,miss,281,225,17,242,0,1
reference,hit,281,367,829,1196,0,1
reference,miss,282,204,18,222,0,1
reference,hit,282,423,727,1150,0,1
reference,miss,283,214,18,232,0,1
reference,hit,283,298,562,860,0,1
reference,miss,284,203,18,221,0,1
reference,hit,284,285,492,777,0,1
reference,miss,285,214,18,232,0,1
reference,hit,285,278,500,778,0,1
reference,miss,286,200,19,219,0,1
reference,hit,286,287,483,770,0,1
reference,miss,287,3451,18,3469,0,1
reference,hit,287,285,511,796,0,1
reference,miss,288,210,18,228,0,1
reference,hit,288,296,531,827,0,1
reference,miss,289,209,17,226,0,1
reference,hit,289,345,489,834,0,1
reference,miss,290,194,17,211,0,1
reference,hit,290,276,473,749,0,1
reference,miss,291,208,18,226,0,1
reference,hit,291,271,468,739,0,1
reference,miss,292,198,17,215,0,1
reference,hit,292,358,479,837,0,1
reference,miss,293,209,16,225,0,1
reference,hit,293,273,470,743,0,1
reference,miss,294,199,18,217,0,1
reference,hit,294,275,470,745,0,1
reference,miss,295,217,17,234,0,1
reference,hit,295,333,670,1003,0,1
reference,miss,296,196,18,214,0,1
reference,hit,296,276,498,774,0,1
reference,miss,297,212,17,229,0,1
reference,hit,297,275,460,735,0,1
reference,miss,298,196,17,213,0,1
reference,hit,298,284,559,843,0,1
reference,miss,299,214,18,232,0,1
reference,hit,299,358,500,858,0,1
reference,miss,300,198,18,216,0,1
reference,hit,300,286,483,769,0,1
reference,miss,301,215,18,233,0,1
reference,hit,301,281,477,758,0,1
reference,miss,302,198,17,215,0,1
reference,hit,302,281,473,754,0,1
reference,miss,303,216,16,232,0,1
reference,hit,303,280,481,761,0,1
reference,miss,304,197,17,214,0,1
reference,hit,304,283,556,839,0,1
reference,miss,305,214,18,232,0,1
reference,hit,305,345,467,812,0,1
reference,miss,306,203,17,220,0,1
reference,hit,306,292,500,792,0,1
reference,miss,307,215,18,233,0,1
reference,hit,307,286,487,773,0,1
reference,miss,308,202,18,220,0,1
reference,hit,308,277,480,757,0,1
reference,miss,309,216,18,234,0,1
reference,hit,309,280,487,767,0,1
reference,miss,310,201,18,219,0,1
reference,hit,310,384,653,1037,0,1
reference,miss,311,327,20,347,0,1
reference,hit,311,473,838,1311,0,1
reference,miss,312,277,18,295,0,1
reference,hit,312,336,678,1014,0,1
reference,miss,313,212,18,230,0,1
reference,hit,313,292,543,835,0,1
reference,miss,314,203,18,221,0,1
reference,hit,314,277,496,773,0,1
reference,miss,315,213,17,230,0,1
reference,hit,315,277,478,755,0,1
reference,miss,316,201,17,218,0,1
reference,hit,316,276,470,746,0,1
reference,miss,317,218,18,236,0,1
reference,hit,317,331,644,975,0,1
reference,miss,318,208,17,225,0,1
reference,hit,318,289,503,792,0,1
reference,miss,319,215,18,233,0,1
reference,hit,319,283,494,777,0,1
reference,miss,320,202,17,219,0,1
reference,hit,320,281,471,752,0,1
reference,miss,321,215,18,233,0,1
reference,hit,321,278,480,758,0,1
reference,miss,322,199,18,217,0,1
reference,hit,322,285,462,747,0,1
reference,miss,323,213,17,230,0,1
reference,hit,323,275,466,741,0,1
reference,miss,324,206,17,223,0,1
reference,hit,324,278,585,863,0,1
reference,miss,325,215,17,232,0,1
reference,hit,325,280,489,769,0,1
reference,miss,326,200,17,217,0,1
reference,hit,326,284,480,764,0,1
reference,miss,327,220,17,237,0,1
reference,hit,327,287,483,770,0,1
reference,miss,328,201,17,218,0,1
reference,hit,328,288,471,759,0,1
reference,miss,329,258,17,275,0,1
reference,hit,329,282,485,767,0,1
reference,miss,330,205,18,223,0,1
reference,hit,330,286,478,764,0,1
reference,miss,331,215,19,234,0,1
reference,hit,331,284,505,789,0,1
reference,miss,332,204,18,222,0,1
reference,hit,332,290,469,759,0,1
reference,miss,333,218,19,237,0,1
reference,hit,333,286,478,764,0,1
reference,miss,334,205,17,222,0,1
reference,hit,334,290,472,762,0,1
reference,miss,335,219,18,237,0,1
reference,hit,335,281,500,781,0,1
reference,miss,336,205,17,222,0,1
reference,hit,336,375,486,861,0,1
reference,miss,337,217,18,235,0,1
reference,hit,337,284,490,774,0,1
reference,miss,338,203,17,220,0,1
reference,hit,338,292,488,780,0,1
reference,miss,339,230,19,249,0,1
reference,hit,339,386,736,1122,0,1
reference,miss,340,207,18,225,0,1
reference,hit,340,283,547,830,0,1
reference,miss,341,216,18,234,0,1
reference,hit,341,279,494,773,0,1
reference,miss,342,203,18,221,0,1
reference,hit,342,284,500,784,0,1
reference,miss,343,216,19,235,0,1
reference,hit,343,284,514,798,0,1
reference,miss,344,204,18,222,0,1
reference,hit,344,284,564,848,0,1
reference,miss,345,220,18,238,0,1
reference,hit,345,283,482,765,0,1
reference,miss,346,208,17,225,0,1
reference,hit,346,278,508,786,0,1
reference,miss,347,217,18,235,0,1
reference,hit,347,379,735,1114,0,1
reference,miss,348,207,18,225,0,1
reference,hit,348,295,541,836,0,1
reference,miss,349,219,17,236,0,1
reference,hit,349,286,491,777,0,1
reference,miss,350,204,18,222,0,1
reference,hit,350,290,489,779,0,1
reference,miss,351,218,18,236,0,1
reference,hit,351,280,512,792,0,1
reference,miss,352,206,18,224,0,1
reference,hit,352,288,520,808,0,1
reference,miss,353,217,19,236,0,1
reference,hit,353,281,503,784,0,1
reference,miss,354,206,18,224,0,1
reference,hit,354,282,530,812,0,1
reference,miss,355,217,18,235,0,1
reference,hit,355,283,505,788,0,1
reference,miss,356,208,18,226,0,1
reference,hit,356,284,492,776,0,1
reference,miss,357,218,19,237,0,1
reference,hit,357,282,508,790,0,1
reference,miss,358,205,18,223,0,1
reference,hit,358,287,505,792,0,1
reference,miss,359,220,17,237,0,1
reference,hit,359,281,523,804,0,1
reference,miss,360,203,18,221,0,1
reference,hit,360,283,492,775,0,1
reference,miss,361,226,17,243,0,1
reference,hit,361,335,643,978,0,1
reference,miss,362,209,19,228,0,1
